"","Target","Effector","Median_FCC","MAD"
"500","PNT","SBPase",-2e-04,0.0830256
"501","PPK","SBPase",-0.0305,0.11579106
"502","PRK","SBPase",0.016,0.04358844
"503","PRSA","SBPase",-0.0411,0.08213604
"504","PTA","SBPase",0.2396,0.3573066
"505","PYK","SBPase",0.1745,0.43796004
"506","RPE","SBPase",0.011,0.04240236
"507","RPI","SBPase",0.0266,0.04922232
"508","RuBisC","SBPase",0.016,0.04358844
"509","RuBisO","SBPase",0.016,0.04358844
"510","SBPase","SBPase",0.0506,0.06923742
"511","Sink_ACCOA","SBPase",0.0792,0.11089848
"512","Sink_E4P","SBPase",-0.0862,0.13254444
"513","Sink_G6P","SBPase",0.106,0.15819342
"514","Sink_GLX","SBPase",0.016,0.04358844
"515","Sink_H2O2","SBPase",0.016,0.04358844
"516","Sink_O2G","SBPase",0.0696,0.15092868
"517","Sink_OAA","SBPase",-0.022,0.0793191
"518","Sink_P3G","SBPase",-0.0387,0.08554602
"519","Sink_PRPP","SBPase",-0.0411,0.08213604
"520","Sink_PYR","SBPase",0.0435,0.10096506
"521","Supply_COA","SBPase",0.0792,0.11089848
"522","Supply_FUM","SBPase",0.0038,0.01734642
"523","Supply_P_i","SBPase",-0.0152,0.04418148
"524","TAL","SBPase",0.0743,0.0985929
"525","TKT1","SBPase",0.0028,0.04625712
"526","TKT2","SBPase",0.0212,0.04403322
"527","TPI","SBPase",0.0271,0.04492278
"528","XFPK1","SBPase",0.2696,0.38933076
"529","XFPK2","SBPase",-0.0557,0.45486168
"530","ZWF","SBPase",0.117,0.1712403
"531","ACO","RPI",0.0234,0.10140984
"532","ADK","RPI",-0.0746,0.10467156
"533","ALD","RPI",0.3146,0.40786326
"534","ATPSyn","RPI",0.0104,0.02342508
"535","CS","RPI",0.0234,0.10140984
"536","DEVB","RPI",-0.0148,0.09844464
"537","ENO","RPI",0.0701,0.10570938
"538","FBA","RPI",-2e-04,0.0289107
"539","FBPase","RPI",0.3146,0.40786326
"540","FUMC","RPI",-0.0011,0.01126776
"541","GAPD","RPI",0.0125,0.02579724
"542","GLCO","RPI",0.0204,0.03157938
"543","GND","RPI",-0.0148,0.09844464
"544","ICD","RPI",0.0234,0.10140984
"545","MDH","RPI",0.2598,0.33981192
"546","ME","RPI",0.0536,0.06938568
"547","NADPase","RPI",0.0117,0.02490768
"548","PDH","RPI",0.0488,0.11801496
"549","PGI","RPI",-0.0394,0.10882284
"550","PGK","RPI",0.0125,0.02579724
"551","PGM","RPI",0.0701,0.10570938
"552","PGP","RPI",0.0204,0.03157938
"553","PNT","RPI",0.0173,0.0511497
"554","PPK","RPI",0.1172,0.14114352
"555","PRK","RPI",0.0204,0.03157938
"556","PRSA","RPI",-0.0746,0.10467156
"557","PTA","RPI",-0.1068,0.18547326
"558","PYK","RPI",-0.0926,0.28792092
"559","RPE","RPI",0.0197,0.03054156
"560","RPI","RPI",0.0218,0.03513762
"561","RuBisC","RPI",0.0204,0.03157938
"562","RuBisO","RPI",0.0204,0.03157938
"563","SBPase","RPI",-2e-04,0.0289107
