"","Target","Effector","Median_FCC","MAD"
"456","RuBisO","FBA",0.0032,0.02134944
"457","SBPase","FBA",0.024,0.03469284
"458","Sink_ACCOA","FBA",0.0221,0.0563388
"459","Sink_E4P","FBA",-0.0385,0.0911799
"460","Sink_G6P","FBA",0.0359,0.0919212
"461","Sink_GLX","FBA",0.0032,0.02134944
"462","Sink_H2O2","FBA",0.0032,0.02134944
"463","Sink_O2G","FBA",0.0196,0.07324044
"464","Sink_OAA","FBA",-0.0036,0.04210584
"465","Sink_P3G","FBA",-0.0088,0.04773972
"466","Sink_PRPP","FBA",-0.0076,0.04210584
"467","Sink_PYR","FBA",0.0049,0.05974878
"468","Supply_COA","FBA",0.0221,0.0563388
"469","Supply_FUM","FBA",0.001,0.00874734
"470","Supply_P_i","FBA",-0.0029,0.02120118
"471","TAL","FBA",0.0439,0.05648706
"472","TKT1","FBA",-5e-04,0.0229803
"473","TKT2","FBA",0.0058,0.02268378
"474","TPI","FBA",0.0078,0.02431464
"475","XFPK1","FBA",0.0946,0.23469558
"476","XFPK2","FBA",-0.0027,0.2661267
"477","ZWF","FBA",0.0352,0.09370032
"478","ACO","SBPase",0.097,0.22416912
"479","ADK","SBPase",-0.0468,0.13684398
"480","ALD","SBPase",-0.3507,0.88125744
"481","ATPSyn","SBPase",0.0328,0.07012698
"482","CS","SBPase",0.097,0.22416912
"483","DEVB","SBPase",0.2173,0.32038986
"484","ENO","SBPase",-0.0017,0.21512526
"485","FBA","SBPase",0.0727,0.11653236
"486","FBPase","SBPase",-0.3507,0.88125744
"487","FUMC","SBPase",0.0072,0.02846592
"488","GAPD","SBPase",0.0351,0.07531608
"489","GLCO","SBPase",0.0226,0.07724346
"490","GND","SBPase",0.2173,0.32038986
"491","ICD","SBPase",0.097,0.22416912
"492","MDH","SBPase",-0.3437,0.6493788
"493","ME","SBPase",-0.0543,0.13580616
"494","NADPase","SBPase",0.0356,0.07427826
"495","PDH","SBPase",-0.0152,0.34129452
"496","PGI","SBPase",0.1988,0.2972613
"497","PGK","SBPase",0.0351,0.07531608
"498","PGM","SBPase",-0.0017,0.21512526
"499","PGP","SBPase",0.0226,0.07724346
"500","PNT","SBPase",-9e-04,0.15092868
"501","PPK","SBPase",-0.0578,0.19525842
"502","PRK","SBPase",0.0226,0.07724346
"503","PRSA","SBPase",-0.0468,0.13684398
"504","PTA","SBPase",0.3586,0.6041595
"505","PYK","SBPase",0.2562,0.85308804
"506","RPE","SBPase",0.0144,0.07516782
"507","RPI","SBPase",0.0414,0.08851122
"508","RuBisC","SBPase",0.0226,0.07724346
"509","RuBisO","SBPase",0.0226,0.07724346
"510","SBPase","SBPase",0.0727,0.11653236
"511","Sink_ACCOA","SBPase",0.1327,0.19066236
